feature,importance
2026vi0738y.pv_std,0.06967795
2026ti0737.pv_rms,0.05812532
2026vi0735y.pv_crest,0.05049858
2026vi0737x.pv_std,0.048335996
2026vi0735y.pv_p2p,0.04064361
2026vi0733y.pv_p2p,0.03914057
2026ti0739.pv_rms,0.03755056
2026ti0737.pv_mean,0.03695557
2026ti0739.pv_mean,0.036587033
2026vi0732x.pv_rms,0.031428136
2026vi0735y.pv_std,0.026975526
2026vi0738x.pv_crest,0.023635214
2026ti0743.pv_min,0.022884069
2026ti0736.pv_max,0.022358406
2026vi0737y.pv_std,0.02136449
2026vi0733y.pv_std,0.020427406
2026vi0737y.pv_crest,0.020208696
2026vi0731x.pv_mean,0.018426394
2026ti0736.pv_mean,0.016972343
2026vi0732x.pv_mean,0.015641447
2026vi0731x.pv_rms,0.015090435
temp_std_all,0.014872885
2026ti0736.pv_rms,0.013972186
2026ti0730.pv_rms,0.01313694
2026ti0735.pv_max,0.011788896
2026ti0738.pv_mean,0.011188813
2026vi0738x.pv_std,0.010029554
2026vi0733y.pv_crest,0.009921841
2026vi0735y.pv_rms,0.00972026
2026vi0737x.pv_crest,0.008973408
2026ti0735.pv_mean,0.007897128
2026ti0730.pv_mean,0.0077894796
2026vi0731x.pv_crest,0.007788693
2026vi0732x.pv_crest,0.0076764394
2026ti0733.pv_rms,0.0072272443
2026vi0732x.pv_max,0.0064495173
ti0731_max,0.0062442385
2026vi0733y.pv_mean,0.0057694158
2026vi0738x.pv_mean,0.0055945897
2026ti0733.pv_mean,0.005561488
2026vi0737y.pv_rms,0.005533373
2026vi0733y.pv_rms,0.0052791135
2026vi0738y.pv_max,0.005027372
2026vi0731x.pv_spectral_entropy,0.0044863406
temp_mean_all,0.0044655125
2026ti0733.pv_max,0.004436357
2026ti0735.pv_rms,0.004232609
2026vi0737x.pv_max,0.004055986
2026vi0733x.pv_crest,0.0040204795
2026vi0732x.pv_std,0.0038501683
2026ti0731.pv_max,0.003813868
2026vi0738x.pv_max,0.0037762967
2026vi0737x.pv_skew,0.0032438976
2026ti0731.pv_crest,0.003194405
2026vi0737y.pv_max,0.003130168
2026vi0737x.pv_mean,0.0030708006
2026ti0734.pv_max,0.0028134687
